remaining_km,current_speed_kmh,congestion_score,weather_encoded,is_halted,target_remaining_minutes
190.39735882944444,64.95713168477695,4,2,0,194.42916615300368
475.6035816729085,97.07708042663725,2,2,0,390.7882758364095
367.33700119664553,73.14668148532331,5,0,0,300.5811914828244
301.3359496775331,10.829335804533532,0,0,0,212.04126584544417
82.22922701900607,24.125430781862203,5,0,0,93.60049284541937
82.21728756642031,28.51266392401949,4,0,0,108.8003373584584
33.751388023258734,33.52235297382983,4,2,0,91.54585019069948
433.7571921585929,73.50244095356555,4,1,0,323.9546819854469
302.5519308128884,65.51555137730115,3,1,0,251.09708039905428
355.49592600904253,26.41080498734716,3,0,0,277.5734876929215
15.189324676422212,8.78212964923932,4,0,0,49.955980446978955
485.1053768201872,22.28618658171335,4,0,0,376.6129088680208
417.05910719620874,127.96957064041843,0,0,0,286.25187234746255
110.1078597857467,60.9111034728914,0,0,0,85.73323612378952
95.00335876751481,112.75491561127463,2,0,0,82.35494802584947
95.78523237744974,110.33782066694963,2,0,0,91.42858403792748
155.5999102649712,66.49754247017358,3,0,0,145.36632219680794
264.75443365795775,91.86940209987065,1,0,0,192.98868621805
218.81278422784732,25.057761353652598,0,0,0,162.3382556805267
149.15842439803075,89.49157164049808,2,0,0,128.99118089050546
307.8671828875778,35.409995304227635,0,0,0,218.7467602602217
74.04946102276071,108.1680725780396,0,0,0,69.89301985297459
149.61160102493298,10.884137304158289,5,2,0,187.01807918424439
186.3491124303774,100.50802747508607,1,0,0,133.47205784804262
230.75464218743278,12.99179785392054,0,1,0,174.22634394569982
393.6621008895417,114.55460079626016,5,2,0,357.62065016669493
103.83852216838807,39.54658735755048,1,0,0,97.77858513799443
259.5460470147377,85.07113742797472,5,0,0,224.79668367004027
298.24521158671104,63.37529622063638,5,0,0,249.13117278953797
27.992954296398874,47.61940888410407,1,0,0,38.3340614727646
305.73470169121197,83.90743831385454,0,0,0,213.83764227625838
89.4094412252093,123.17798747166094,0,1,0,63.20270780185982
37.20053852771336,5.365067158700842,2,0,0,46.993010890674576
474.69834094039993,119.45087126480355,0,2,0,367.6776675159605
482.9878563719069,79.18061515273176,0,1,0,374.3745249319004
405.1566873176483,104.9508590999768,0,0,0,288.26968516018997
155.78381574081848,49.90374394645608,2,0,0,130.7538672954641
53.34769643316002,61.339586728889785,1,0,0,39.20227161632074
343.69534812351765,112.95059773415132,2,0,0,268.3898848338509
222.87548440110265,53.930236075277,0,0,0,157.08132983407708
65.40892624816553,69.50574367738105,4,1,0,82.85017927293701
250.11257050507874,2.625340000963278,0,0,0,175.64535076781686
22.022317952033106,20.617740758945498,2,0,0,18.322526913547883
455.1135990289971,83.41924603672396,5,1,0,364.0019185534793
133.09609089200836,93.20699713830403,5,0,0,134.86567400874557
332.9485307552211,75.73812178198493,2,0,0,235.51401614286638
159.29698266425842,18.63030471582939,3,0,0,143.23995015545032
262.43367048301633,57.90270571511853,5,0,0,218.83225072438785
275.62158827492345,46.16231962721468,4,1,0,234.55895586024846
96.50295548513589,64.43597472456148,2,2,0,98.4136037147646
484.9443907434565,113.14277449203226,5,0,0,380.33857112953274
388.6907475637517,100.86198702562474,5,0,0,300.98161751644784
470.0519760742736,10.918635180590663,1,0,0,335.83826959121956
447.9395384616862,115.74019571069336,0,1,0,311.085425502066
300.96048951148714,61.329729649477066,5,0,0,240.50576441023796
461.32774633644283,96.7020788351798,5,0,0,360.1710902280483
48.80378851570015,18.205100064365777,1,0,0,39.203961259415536
